2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: Менять работу каждый год, не отвечать после 18:00, ходить в офис — это норм или стрём?
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: Проектирование в условиях нест...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: Проектирование в условиях нестабильности: практика
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: [Перевод] Тред-дампы и Project...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: [Перевод] Тред-дампы и Project Loom (виртуальные потоки)
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: Настоящий биохакинг...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: Настоящий биохакинг
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: Золотое сечение – универсальна...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: Золотое сечение – универсальная формула красоты и вселенской гармонии или маркетинговая уловка?
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: Как включить демонстрацию экра...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: Как включить демонстрацию экрана в Discord
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📤 NATS: [Перевод] Шпаргалка по HTTP-кэ...
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: new_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.nats | INFO | 📬 NATS: новый пост [habr]: [Перевод] Шпаргалка по HTTP-кэшированию
2025-12-25 20:58:21 | websocket | INFO | 📢 Broadcasting: external_post
2025-12-25 20:58:21 | websocket | INFO | 👥 Получателей: 0
2025-12-25 20:58:21 | app.services.rss | INFO | Добавлено 10 новых постов
2025-12-25 20:58:32 | app.nats | INFO | 🔌 NATS отключён
2025-12-25 20:58:32 | app | INFO | Приложение остановлено
